ORIGEM,DESTINO,CUSTO_AGREGADO,CUSTO_FROTA,MELHOR_CUSTO,VENCEDOR
Guarujá/SP,Três Corações/MG,5788.979776,5548.42,5548.42,FROTA
Guarujá/SP,Barbacena/MG,9374.671639200002,9275.5,9275.5,FROTA
Guarujá/SP,Ilhéus/BA,21729.202941600004,28172.049999999996,21729.202941600004,AGREGADO
Guarujá/SP,Arapoti/PR,6657.694041600002,8232.76,6657.694041600002,AGREGADO
Guarujá/SP,Guaratinguetá/SP,3791.0280536000005,4299.09,3791.0280536000005,AGREGADO
Guarujá/SP,Ibiporã/PR,7545.4282632,9226.32,7545.4282632,AGREGADO
Guarujá/SP,Resende/RJ,6014.205890560001,5223.79,5223.79,FROTA
Guarujá/SP,Carazinho/RS,12758.908497600003,16942.31,12758.908497600003,AGREGADO
Guarujá/SP,Santo Antônio Do Leverger/MT,20791.794237600003,25962.92,20791.794237600003,AGREGADO
Guarujá/SP,Montenegro/RS,14075.723431200002,19212.8,14075.723431200002,AGREGADO
Guarujá/SP,Barra Mansa/RJ,5345.917811200001,5528.75,5345.917811200001,AGREGADO
Guarujá/SP,Bragança Paulista/SP,2976.2322392,2062.95,2062.95,FROTA
Guarujá/SP,Montes Claros/MG,13645.513072800004,18445.739999999998,13645.513072800004,AGREGADO
Guarujá/SP,São Gonçalo Do Abaeté/MG,12091.753188000002,14380.330000000002,12091.753188000002,AGREGADO
Guarujá/SP,Sumaré/SP,3251.3201624000003,2470.6,2470.6,FROTA
Guarujá/SP,São José dos Campos/SP,2737.2873160000004,2067.78,2067.78,FROTA
Guarujá/SP,Itajaí/SC,7929.871735200001,9285.35,7929.871735200001,AGREGADO
Guarujá/SP,Rinópolis/SP,8350.0908456,9521.43,8350.0908456,AGREGADO
Guarujá/SP,Iturama/MG,9464.744676000002,11987.11,9464.744676000002,AGREGADO
Guarujá/SP,Confins/MG,9369.0420744,11542.220000000001,9369.0420744,AGREGADO
Guarujá/SP,Jardinópolis/SP,6038.9121664,7327.73,6038.9121664,AGREGADO
Guarujá/SP,Sengés/PR,5824.1163904000005,7662.2,5824.1163904000005,AGREGADO
Guarujá/SP,São Vicente/SP,1227.1059632,813.03,813.03,FROTA
Guarujá/SP,Piraúba/MG,9026.003805600001,9314.86,9026.003805600001,AGREGADO
Guarujá/SP,Itararé/SP,5659.388224,7514.639999999999,5659.388224,AGREGADO
Guarujá/SP,São Bento/PB,32428.104679200005,43175.7,32428.104679200005,AGREGADO
Guarujá/SP,Sebastianópolis do Sul/SP,8113.649124000001,9039.41,8113.649124000001,AGREGADO
Guarujá/SP,Embu-guaçu/SP,2276.525188,1908.27,1908.27,FROTA
Guarujá/SP,João Pessoa/PB,34909.282020000006,44418.34,34909.282020000006,AGREGADO
Guarujá/SP,Simões Filho/BA,24660.207952800003,31915.29,24660.207952800003,AGREGADO
Guarujá/SP,Jaboticatubas/MG,9194.890749600003,11941.09,9194.890749600003,AGREGADO
Guarujá/SP,São João Da Vereda/MG,13737.9495432,18691.2,13737.9495432,AGREGADO
Guarujá/SP,Arceburgo/MG,5374.3192192000015,5400.87,5374.3192192000015,AGREGADO
Guarujá/SP,Mogi Guaçu/SP,3940.0340119999996,4259.75,3940.0340119999996,AGREGADO
Guarujá/SP,Terenos/MS,14116.398266400001,17847.44,14116.398266400001,AGREGADO
Guarujá/SP,Araçatuba/SP,7884.835216800001,9236.16,7884.835216800001,AGREGADO
Guarujá/SP,Arapongas/PR,8609.050826400002,11342.78,8609.050826400002,AGREGADO
Guarujá/SP,Pederneiras/SP,5528.741747200002,5912.4,5528.741747200002,AGREGADO
Guarujá/SP,ARUJA/SP,2037.395476,1575.41,1575.41,FROTA
Guarujá/SP,BIRITIBA-MIRIM/SP,1751.6063080000001,1325.54,1325.54,FROTA
Guarujá/SP,CAIEIRAS/SP,2352.3468040000002,1975.94,1975.94,FROTA
Guarujá/SP,CARAPICUIBA/SP,2060.725204,1585.25,1585.25,FROTA
Guarujá/SP,COTIA/SP,2066.557636,1869.6000000000001,1869.6000000000001,FROTA
Guarujá/SP,DIADEMA/SP,1553.30362,1171.11,1171.11,FROTA
Guarujá/SP,EMBU DAS ARTES/SP,1932.4117,1486.88,1486.88,FROTA
Guarujá/SP,EMBU-GUACU/SP,2426.525188,1908.27,1908.27,FROTA
Guarujá/SP,FERRAZ DE VASCONCELOS/SP,1874.08738,1398.34,1398.34,FROTA
Guarujá/SP,FRANCISCO MORATO/SP,2503.990036,2029.1100000000001,2029.1100000000001,FROTA
Guarujá/SP,FRANCO DA ROCHA/SP,,2004.94,2004.94,AGREGADO
Guarujá/SP,GUARAREMA/SP,2399.0062599999997,1985.6100000000001,1985.6100000000001,FROTA
Guarujá/SP,ITAPECERICA DA SERRA/SP,2037.395476,1555.73,1555.73,FROTA
Guarujá/SP,ITAPEVI/SP,2321.541412,1898.6000000000001,1898.6000000000001,FROTA
Guarujá/SP,ITAQUAQUECETUBA/SP,1996.568452,1545.9,1545.9,FROTA
Guarujá/SP,JANDIRA/SP,2189.038708,1913.1000000000001,1913.1000000000001,FROTA
Guarujá/SP,JUQUITIBA/SP,2439.833284,2009.7800000000002,2009.7800000000002,FROTA
Guarujá/SP,MAIRIPORA/SP,2101.552228,1545.9,1545.9,FROTA
Guarujá/SP,MAUA/SP,1570.8009160000001,1186.84,1186.84,FROTA
Guarujá/SP,MOGI DAS CRUZES/SP,1664.1198279999999,1264.56,1264.56,FROTA
Guarujá/SP,PIRAPORA DO BOM JESUS/SP,2474.827876,2038.7800000000002,2038.7800000000002,FROTA
Guarujá/SP,POA/SP,2019.8981800000001,18522.449999999997,2019.8981800000001,AGREGADO
Guarujá/SP,RIBEIRAO PIRES/SP,1512.476596,1117.0,1117.0,FROTA
Guarujá/SP,RIO GRANDE DA SERRA/SP,1524.1414599999998,1116.02,1116.02,FROTA
Guarujá/SP,SALESOPOLIS/SP,1734.1090120000001,1555.73,1555.73,FROTA
Guarujá/SP,SANTA ISABEL/SP,2403.19546,16528.1,2403.19546,AGREGADO
Guarujá/SP,SANTANA DE PARNAIBA/SP,2409.027892,1942.1100000000001,1942.1100000000001,FROTA
